scaffold1,scaffold2,connections
16,136,1
16,139,5
16,148,1
16,152,1
16,167,489
16,188,1
16,19,18
16,193,1
16,20,85
16,207,2
16,209,2
16,21,28
16,226,1
16,230,1
162,347,8
16,250,1
16,253,1
16,267,1
16,27,15
16,28,19
16,282,1
16,291,9
16,301,4
16,305,2
163,164,2
163,322,1
16,34,1
16,353,49
16,36,1
16,364,1
16,374,10
16,38,1
16,388,1
16,41,2
16,43,11
16,44,1
16,46,1
16,48,17
16,49,68
165,318,1
165,379,1
16,57,4
16,61,1
16,62,29
167,266,6
167,353,69
167,388,1
16,77,1
16,79,3
168,227,5
168,228,3
168,240,1
168,309,7
168,314,1
168,380,8
16,96,1
170,186,37
170,288,1
17,120,2
17,121,1
17,145,1
17,146,1
17,165,5
17,185,15
17,209,1
172,173,3
17,223,5
17,24,3
17,285,2
17,30,2
17,318,7
17,379,1
176,354,1
17,76,6
179,270,2
180,196,1
180,217,11
180,294,1
180,410,1
18,159,1
18,161,2
18,175,1
18,179,4
18,21,3
18,242,1
183,196,2
183,212,1
183,219,2
183,294,36
185,223,10
185,272,6
185,275,2
18,53,3
185,315,4
185,379,1
190,220,1
19,212,1
192,280,22
19,23,3
192,332,1
192,376,20
19,301,1
193,369,1
19,35,5
19,41,2
19,48,9
195,358,5
195,360,52
195,361,5
195,403,37
196,212,6
196,217,1
196,221,3
196,278,7
196,294,34
19,63,1
198,235,1
201,266,100
20,135,19
20,167,80
20,181,1
20,21,7
202,217,1
20,28,8
20,353,46
204,207,1
204,308,1
20,49,14
207,374,1
209,247,1
210,211,14
21,106,1
21,112,39
21,167,10
21,175,23
21,192,1
21,199,1
21,202,1
21,210,1
212,219,2
212,221,1
21,230,1
21,250,1
21,28,1
21,306,1
21,311,1
21,318,1
213,217,2
213,219,5
213,294,1
21,332,1
213,333,1
21,335,1
21,353,1
21,36,1
21,41,48
214,215,15
214,216,1
214,390,1
21,44,1
21,45,1
21,49,40
21,53,2
217,246,1
217,294,2
21,73,2
219,294,1
21,96,1
21,98,1
2,202,1
22,100,1
22,102,4
22,106,63
22,122,21
221,278,1
22,132,8
22,238,9
22,243,4
22,249,4
22,25,12
22,271,11
22,28,23
2,230,6
22,326,3
223,288,12
2,246,3
22,58,1
226,248,1
226,347,1
22,64,18
227,228,4
227,240,1
227,244,4
227,291,3
227,305,2
227,309,8
227,380,1
2,279,1
22,86,14
2,29,5
22,94,2
230,250,3
230,258,1
230,266,2
230,279,3
230,378,1
23,124,7
231,301,5
2,320,12
23,202,17
23,227,8
23,240,15
23,309,4
23,314,53
238,243,9
238,249,1
239,348,4
2,40,2
240,262,1
240,291,5
240,305,1
240,309,1
240,314,20
240,380,8
24,121,3
24,165,1
24,185,6
24,288,3
243,249,6
243,271,1
243,326,11
244,291,1
2,45,1
246,247,4
246,250,74
246,258,7
246,266,42
246,320,8
246,347,1
247,266,4
24,76,1
250,258,2
250,279,2
25,100,11
25,102,1
25,106,1
25,122,1
25,132,3
25,135,5
251,387,1
25,238,3
25,243,10
25,249,1
25,271,1
25,28,5
25,326,7
25,64,25
2,58,3
258,282,10
258,338,1
25,86,21
25,94,12
25,99,1
26,277,4
263,417,1
266,279,3
26,80,1
269,287,6
27,125,1
27,127,1
27,135,2
27,167,7
272,288,9
272,318,2
27,28,1
2,73,2
27,353,1
274,358,2
274,361,4
27,82,1
278,294,3
280,376,1
28,100,1
28,102,1
28,106,5
28,122,3
28,132,2
28,135,56
28,167,23
28,238,2
28,243,13
28,271,6
2,83,1
283,381,1
28,49,4
2,85,2
285,315,1
285,318,4
285,379,1
286,294,5
28,64,6
2,87,6
288,318,10
288,351,17
288,414,12
28,86,6
28,94,2
29,127,6
291,305,5
29,136,1
29,230,24
29,246,1
29,247,2
29,250,6
29,266,2
293,310,6
29,40,2
294,333,1
29,45,4
295,316,1
295,386,11
29,58,6
29,63,1
297,342,1
29,75,1
29,82,54
29,85,3
29,87,4
29,93,1
30,104,1
30,119,5
30,121,1
30,129,2
30,185,2
30,223,1
302,318,1
30,275,8
30,288,5
30,414,1
306,342,7
30,76,2
308,358,1
309,314,9
31,170,72
31,186,10
313,320,1
315,318,12
315,379,1
316,376,4
318,351,1
318,379,4
318,414,1
320,369,1
323,358,7
323,360,1
323,361,14
323,390,1
3,318,1
333,360,1
333,373,2
33,358,10
33,361,19
3,379,1
339,405,2
341,380,1
341,382,5
34,229,1
34,301,3
34,48,1
34,62,1
358,360,13
358,361,107
358,390,6
358,410,3
360,361,15
360,403,32
360,410,1
361,390,5
361,403,4
361,407,1
36,167,3
36,320,1
36,363,1
3,76,5
38,127,1
38,200,1
38,217,1
38,250,1
40,111,1
40,230,6
40,246,2
40,250,1
40,279,1
40,45,7
40,58,2
40,63,3
40,73,1
40,75,10
40,85,4
40,87,1
40,93,1
4,100,1
4,103,1
4,11,2
41,103,1
41,108,1
41,109,1
41,111,1
41,112,13
41,129,1
41,162,1
4,117,39
41,175,4
41,221,1
4,123,1
41,246,1
41,282,1
4,13,20
4,132,1
4,134,1
4,139,1
4,14,148
4,15,51
4,16,30
4,161,1
41,62,1
4,167,9
41,75,2
41,80,1
41,82,1
4,20,10
4,208,1
4,21,71
4,217,1
4,224,1
4,230,1
4,246,1
4,257,9
4,28,1
4,291,1
4,31,14
43,127,1
43,174,1
43,276,1
4,339,1
4,344,1
4,353,2
4,363,1
43,63,1
4,373,1
4,376,3
4,40,1
4,402,1
4,41,12
44,208,1
44,313,1
4,45,1
44,75,1
44,82,1
4,49,39
4,5,30
45,111,2
45,125,1
45,127,22
45,174,3
45,189,1
45,201,1
45,226,1
45,230,9
45,246,7
45,248,9
45,250,6
45,266,72
45,279,9
45,282,8
4,53,1
45,369,39
45,372,3
45,46,1
45,58,1
45,63,11
45,73,4
45,75,4
4,58,1
45,85,91
45,87,1
4,59,1
45,93,15
46,109,16
46,125,1
46,180,7
46,183,1
46,196,1
46,219,1
46,278,6
46,289,1
46,294,8
46,50,1
46,89,29
46,90,5
46,91,17
46,92,4
47,152,1
47,163,1
47,172,1
47,192,2
4,75,1
47,61,1
47,96,1
47,97,1
4,8,124
4,85,3
4,9,1
49,135,6
49,167,26
49,223,34
4,93,2
49,353,10
4,96,1
4,97,3
49,76,5
50,109,1
50,180,1
50,219,2
50,221,1
50,78,1
50,89,5
5,112,58
5,123,3
5,13,5
5,14,209
5,15,75
5,16,1
5,17,1
5,175,1
5,18,4
5,183,1
5,209,1
5,21,70
53,123,2
53,164,2
53,175,5
5,318,3
53,208,3
53,242,2
5,332,1
5,41,85
5,42,1
5,63,1
56,342,1
5,8,3
58,111,2
58,127,2
58,136,3
58,200,7
58,230,3
58,246,33
58,250,3
58,314,1
58,320,1
58,63,1
58,73,3
58,75,16
58,85,35
58,87,12
58,93,2
58,97,1
5,9,11
60,113,4
60,195,1
60,323,16
60,358,25
60,361,55
60,390,11
60,410,1
61,136,1
62,201,1
62,282,1
63,106,1
63,111,2
63,127,112
63,167,1
63,208,1
63,246,7
63,247,6
63,250,1
63,266,4
63,279,1
63,313,3
63,320,52
63,369,9
63,73,1
63,75,1
63,85,20
63,96,1
64,100,2
64,102,3
64,106,6
64,132,17
64,135,25
64,238,3
64,243,4
64,249,2
64,271,1
64,286,1
64,326,27
64,86,7
64,94,3
66,105,1
66,173,1
66,224,1
68,257,1
68,366,8
68,388,4
69,109,2
69,227,2
70,94,8
7,111,3
7,14,1
7,16,2
7,201,1
7,226,1
7,296,1
73,111,4
73,127,2
73,230,1
73,250,10
73,279,1
73,333,1
73,363,27
73,75,2
73,76,1
73,85,32
73,93,1
75,111,5
75,125,4
75,127,31
75,147,1
75,167,2
75,193,1
75,230,12
75,246,3
75,247,1
75,250,1
75,266,1
75,279,2
75,363,1
75,85,7
75,86,1
75,87,1
76,119,6
76,120,5
76,121,14
76,129,1
76,146,10
76,185,21
76,223,4
76,259,1
76,285,2
76,288,4
7,63,1
76,315,21
76,318,22
76,379,14
76,389,1
77,183,1
77,248,35
7,75,2
77,82,1
77,89,1
78,180,1
78,196,4
78,89,1
78,92,2
7,96,4
8,103,2
8,117,2
81,219,1
8,13,3
8,14,43
8,15,11
8,16,1
8,175,2
8,192,1
8,196,1
8,21,26
82,103,10
82,211,1
82,230,16
82,258,27
82,282,1
82,87,1
8,31,7
83,210,1
83,246,1
83,313,7
8,332,4
83,84,22
83,85,25
83,87,10
8,41,4
8,42,11
85,111,18
85,127,14
85,165,1
85,167,1
85,189,3
85,196,1
85,226,1
85,246,69
85,247,1
85,250,14
85,266,1
85,279,23
85,282,1
85,320,2
85,355,1
85,363,9
8,57,1
85,87,17
85,93,2
85,96,2
86,100,49
86,102,2
86,106,7
86,122,20
86,132,6
86,135,5
86,238,10
86,243,5
86,249,1
86,271,6
86,326,16
86,94,2
87,111,14
87,200,7
87,226,9
87,230,12
87,246,11
87,247,1
87,250,5
87,258,1
87,313,10
87,381,1
8,74,1
8,75,1
8,76,1
88,164,2
88,184,1
88,322,4
89,109,3
89,141,1
89,180,24
89,183,3
89,196,5
89,212,8
89,213,2
89,217,3
89,219,4
89,221,7
89,278,3
89,294,14
8,96,1
89,90,4
89,91,31
89,92,8
90,180,1
90,219,1
90,282,1
90,333,1
9,103,1
9,105,1
91,234,1
91,294,18
9,13,8
9,14,4
9,15,10
91,92,3
9,200,1
9,21,16
92,180,6
92,183,18
92,196,2
92,217,1
9,224,1
92,250,1
92,278,1
92,294,7
92,401,4
9,27,1
93,109,2
93,127,5
93,149,1
93,197,1
93,230,2
93,246,4
93,266,2
9,332,2
9,401,1
9,41,11
94,100,1
94,122,1
94,132,3
94,135,2
94,243,2
94,271,1
96,111,2
96,246,15
96,266,9
96,276,1
96,286,1
96,289,1
9,63,1
96,347,1
97,117,2
97,152,27
