scaffold,coverage,stdev
270,25.8348,11.3116
271,31.6613,19.3846
272,24.3637,7.0909
273,27.9936,9.85035
274,18.5619,6.51915
275,23.226,11.0163
276,22.1295,7.11312
277,44.6444,10.1611
278,29.5363,11.9294
279,16.1951,11.3935
280,49.4853,14.8869
281,24.2403,10.9168
282,21.7228,8.19904
283,33.0844,8.44457
284,22.4287,6.75571
285,19.3869,7.57934
286,24.0162,10.6185
287,22.6295,6.66631
288,25.3093,26.3977
289,27.9141,11.5477
290,13.4047,7.98788
291,22.8344,13.0941
292,28.2784,7.76474
293,19.0946,6.39123
294,31.2511,27.0567
295,29.9152,7.57134
296,28.3195,7.46034
297,25.6291,6.69447
298,22.7103,10.2856
299,31.2441,8.35234
300,124.377,60.9524
301,23.5936,28.385
302,22.8847,6.98764
303,23.3739,7.32504
304,24.9578,7.39953
305,19.8789,8.68481
306,24.1595,8.12583
307,22.4766,6.11672
308,26.6165,10.8355
309,20.9363,7.20499
310,19.7286,7.14445
311,24.4407,9.19731
312,29.2614,9.99075
313,17.4097,8.46239
314,18.9254,7.40763
315,22.3707,7.12894
316,67.9952,35.45
317,28.7837,12.475
318,26.5928,30.4329
319,14.068,4.74451
320,19.2538,9.16922
321,24.6731,10.0158
322,23.3456,7.82381
323,23.5278,32.9567
324,16.2555,5.08212
325,8.85373,4.1113
326,33.7407,26.7333
327,25.4797,9.44281
328,23.3578,6.63838
329,44.5288,15.8048
330,31.2233,15.1511
331,19.0627,6.77802
332,13.5786,7.44196
333,25.0033,11.0638
334,19.7826,6.69204
335,19.2651,5.94037
336,21.7834,6.91902
337,34.7041,27.1183
338,25.3932,7.34001
339,9.62821,3.71966
340,29.1435,7.93088
341,19.0825,7.10741
342,24.5168,9.14263
343,22.2381,6.9893
344,27.0293,7.52629
345,22.4961,7.02426
346,72.4714,33.801
347,17.584,7.44194
348,19.549,6.16361
349,13.0367,6.69623
350,22.364,7.16184
351,22.358,6.97834
352,33.372,28.1203
353,45.817,35.5422
354,8.50898,28.1112
355,18.4986,7.8187
356,17.3387,4.89017
357,6.75458,3.99052
358,58.0647,178.567
359,44.7335,16.9959
360,32.8779,46.5701
361,90.3942,214.029
362,20.6468,6.57192
363,21.2572,8.22058
364,25.4874,11.0739
365,13.1603,4.93564
366,23.3103,7.83487
367,44.7613,26.1252
368,29.6988,10.072
369,22.4894,12.5323
370,27.6382,7.44078
371,22.7239,6.20178
372,20.85,5.41785
373,29.9196,9.92574
374,23.9858,10.9975
375,13.864,5.34507
376,63.7904,30.8916
377,9.07117,4.8652
378,27.4365,9.17995
379,24.1873,15.9659
380,21.5821,7.06354
381,18.4907,8.2048
382,21.1699,7.09231
383,20.4431,6.32815
384,49.0484,13.3196
385,54.266,77.1321
386,32.0115,8.77938
387,27.9502,7.87588
388,23.438,8.29668
389,21.0189,6.46856
390,28.3196,13.6028
391,23.0388,6.32284
392,22.7309,10.9598
393,24.6331,10.8234
394,22.3048,6.42911
395,16.3354,7.189
396,31.5696,18.0615
397,22.0124,7.13609
398,30.3957,7.20866
399,34.4372,9.91687
400,15.5845,5.52518
401,29.4222,10.9667
402,11.5379,4.97741
403,23.7531,21.741
404,33.8906,9.00767
405,9.21779,3.76093
406,5.71698,4.32796
407,8.60528,3.11732
408,89.8533,18.9159
409,23.6101,11.3129
410,21.7931,9.8868
411,27.6565,7.39755
412,21.9179,6.74351
413,70.2554,18.408
414,24.7345,7.29824
415,20.4045,7.54188
416,25.6915,10.2172
417,21.1621,6.42423
