scaffold,coverage,stdev
1,6.51956,3.48738
2,114.869,52.2143
3,41.5605,16.6949
4,165.118,42.7679
5,98.3018,44.5547
6,37.3699,15.3699
7,132.038,36.6258
8,153.195,47.7094
9,97.1948,33.571
10,15.714,5.75871
11,89.756,60.1386
12,52.5223,30.5658
13,94.1778,26.8434
14,152.632,44.9378
15,91.5156,33.4768
16,119.147,35.6298
17,53.712,25.4551
18,22.1223,8.91752
19,121.532,40.6574
20,22.6044,23.7667
21,104.901,29.041
22,39.0801,23.8744
23,47.6824,28.7781
24,54.7492,28.0357
25,42.0659,19.2366
26,22.9166,9.18234
27,6.13627,3.43609
28,40.2527,26.1493
29,122.561,46.8975
30,49.2805,31.7234
31,69.91,26.3217
32,27.7456,8.06764
33,46.8631,79.9211
34,78.4924,35.4838
35,112.615,38.899
36,6.95038,6.60403
37,73.5829,49.0707
38,134.187,32.0102
39,22.4676,6.98073
40,119.066,70.6652
41,95.0905,24.3666
42,35.6512,47.3802
43,112.834,36.6921
44,116.339,35.065
45,139.785,61.7931
46,46.6999,34.128
47,64.7493,26.4953
48,47.7415,41.3766
49,61.1099,36.5234
50,42.6669,20.4616
51,22.8439,8.0217
52,21.1123,9.26793
53,23.4378,7.66285
54,23.8718,5.80259
55,19.924,5.90018
56,51.0678,11.5822
57,33.9245,10.9854
58,114.789,44.0683
59,26.2174,9.26611
60,58.7338,85.9005
61,23.9137,7.43599
62,116.253,33.4521
63,124.957,43.2357
64,45.9476,18.5659
65,42.1879,15.7144
66,25.496,10.1691
67,25.67,8.6134
68,16.5063,6.4591
69,53.7711,11.9627
70,38.9098,23.8509
71,17.4069,6.63259
72,21.5056,6.76752
73,122.783,52.7528
74,19.4192,6.03969
75,119.369,52.2261
76,53.3229,23.2007
77,132.947,37.5384
78,42.0837,20.3851
79,24.4596,8.77302
80,18.4177,6.69414
81,34.0933,14.8657
82,120.978,47.419
83,121.999,43.72
84,83.0921,23.1353
85,118.685,57.1408
86,35.0735,21.6403
87,117.735,40.7209
88,20.3378,8.21942
89,65.5898,52.1931
90,44.449,24.3292
91,62.6552,36.8931
92,39.7812,32.0551
93,118.432,32.6686
94,41.0688,22.7931
95,43.0354,11.8987
96,130.164,41.0882
97,334.511,228.464
98,48.2948,11.1328
99,35.7378,15.474
100,38.4045,17.2362
101,14.9191,5.7146
102,30.7356,25.8117
103,116.849,37.7175
104,55.8283,11.677
