"scaffold","coverage"
"180",7.337
"227",6.909
"253",6.996
"285",2.479
"315",7.172
"343",5.068
"386",6.732
"423",6.708
"431",6.797
"460",6.968
"484",7.087
"564",6.855
"573",13.314
"1058",7.235
"1097",8.169
"1117",7.03
"1192",7.208
"1196",2.551
"1382",7.749
"1383",6.648
"1779",5.657
"1877",6.743
"1930",7.04
"1957",7.229
"1962",7.551
"2042",2.84
"2104",6.955
"2125",2.943
"2127",7.06
"2404",6.766
"2509",2.61
"2521",8.423
"3177",6.887
"3337",6.391
"3345",8.561
"3505",7.413
"3951",2.748
"4013",7.801
"4078",4.579
"4119",2.504
"4666",3.122
"4889",9.479
"4905",5.403
"4968",8.481
"5013",7.332
"5236",2.427
"5382",2.734
"5503",8.218
"5687",8.095
"5839",4.064
"6044",8.258
"6155",4.119
"6267",2.209
"6517",8.514
"6525",7.009
"6573",2.739
"6646",8.132
"6721",2.025
"6750",2.615
"6752",10.955
"6757",19.268
"6944",3.013
"7007",7.974
"7258",2.023
"7409",10.677
"7521",3.708
"7531",8.392
"8257",8.133
"8320",2.599
"8351",2.373
"8546",9.323
"8929",8.866
"9368",7.911
"9767",2.45
"9815",2.427
"9833",2.552
"9904",2.306
"10142",11.834
"10309",10.269
"10612",10.826
"10820",7.328
"10849",2.164
"10949",8.693
"10968",2.537
"11002",8.197
"11203",2.058
"11854",7.962
"11985",10.048
"12119",2.061
"12157",2.122
"12385",2.92
"12427",2.252
"12537",12.73
"12663",7.663
"12819",2.893
"13562",2.616
"13588",7.919
"13731",2.513
"14216",2.586
"14571",2.87
"15114",2.589
"15191",2.541
"15325",2.351
"15365",2.373
"16162",2.089
"16380",7.847
"16517",2.353
"16548",7.662
"16668",7.862
"17117",9.115
"17282",2.425
"17388",2.087
"18030",7.815
"18251",3.119
"18472",8.119
"18770",2.042
"18815",9.111
"19572",7.948
"19997",2.886
"20216",2.771
"20267",2.821
"20273",8.192
"20793",2.577
"21104",2.02
"21161",7.841
"21251",2.587
"21584",2.503
"22199",2.524
"22519",4.189
"22767",8.04
"22965",2.631
"23245",2.444
"24474",7.366
"25712",2.34
"26452",18.485
"26621",2.545
"26897",2.382
"28601",3.631
"28814",2.509
"28820",20.887
"30045",2.547
"30618",2.299
"31787",8.732
"31833",2.894
"32703",2.992
"34032",2.74
"34443",9.476
"34743",8.218
"35327",2.854
"36121",8.718
"37454",2.893
"37990",2.767
"42619",2.536
"43398",2.286
"43410",2.549
"44902",2.65
"45704",2.415
"47829",2.259
"51136",2.759
"56900",12.863
"59665",9.455
