scaffold1,scaffold2,connections
22,122,86
221,294,1
22,132,41
22,135,4
22,137,1
2,221,1
22,238,13
22,243,5
22,249,12
22,25,54
22,258,1
22,271,31
22,28,93
22,326,15
223,288,9
22,64,43
22,70,1
227,228,3
227,291,2
227,309,10
22,86,93
2,29,1
22,94,7
230,250,1
230,279,3
230,391,1
23,124,1
231,301,6
2,320,2
23,202,15
23,227,5
23,240,3
23,309,1
23,314,37
234,243,1
238,243,19
238,249,1
239,291,1
240,291,2
240,305,2
240,309,1
240,314,5
240,318,1
240,380,3
24,121,5
24,165,1
24,185,5
24,288,2
243,249,12
243,326,29
244,291,1
2,45,1
246,247,1
246,250,13
246,258,3
246,266,9
246,313,1
246,320,2
247,266,1
24,76,1
249,326,1
250,258,2
25,100,10
25,102,5
25,106,7
25,122,5
25,132,21
25,135,9
25,238,2
25,243,39
25,249,1
25,271,4
25,28,17
25,326,48
254,359,4
25,64,58
2,58,3
258,282,3
25,86,71
259,318,1
25,94,52
261,333,2
26,277,13
266,279,2
26,80,8
269,287,4
270,413,2
27,167,3
27,168,1
27,185,1
27,209,1
272,288,7
272,318,3
27,266,2
27,28,2
27,294,1
27,36,6
27,410,1
274,358,3
274,361,3
27,46,1
27,64,1
278,286,2
278,294,2
27,90,1
28,100,5
28,102,1
28,106,15
28,122,23
281,304,5
28,132,17
28,135,115
28,167,13
28,217,1
28,238,4
28,243,41
28,249,2
28,271,9
28,326,1
28,353,1
28,49,2
285,288,1
285,318,1
286,294,5
28,64,15
2,87,3
288,318,14
288,345,1
288,351,20
288,379,2
288,414,12
28,86,36
28,94,8
29,127,3
291,305,8
291,355,1
29,230,13
293,310,6
29,45,1
295,386,9
29,58,4
297,342,12
29,82,11
29,85,3
29,87,1
30,104,1
30,119,4
30,129,1
30,145,3
30,146,1
30,223,1
302,318,1
30,275,12
30,288,9
30,351,2
306,342,14
30,76,1
309,314,2
309,382,1
31,170,52
31,186,2
312,333,1
313,320,2
315,318,18
315,379,7
316,376,3
316,387,1
318,345,1
318,379,5
323,358,5
323,360,1
323,361,9
323,390,2
333,373,1
333,378,1
333,416,1
33,358,8
33,361,11
341,382,11
34,223,1
34,301,7
34,48,1
34,62,1
352,408,1
35,48,1
358,360,6
358,361,106
358,390,4
358,403,1
360,361,10
360,403,17
361,390,2
361,403,2
36,212,1
36,353,1
36,41,1
36,53,1
36,62,1
36,63,1
366,388,1
36,75,1
3,76,5
39,161,5
40,230,1
40,45,3
40,63,2
40,73,1
40,75,2
40,87,1
4,105,1
41,112,10
41,134,1
41,164,1
4,117,55
41,175,17
41,221,1
41,257,1
4,13,21
41,302,1
41,372,1
4,138,1
4,14,143
41,43,1
4,15,47
4,16,7
41,63,1
4,167,6
4,175,2
41,75,1
4,20,5
4,208,1
4,21,69
42,146,1
4,224,1
4,257,9
4,28,3
4,289,1
4,31,8
43,147,1
43,174,1
4,332,1
43,372,1
4,353,3
43,57,1
4,402,1
4,41,8
4,42,3
4,49,40
4,5,42
45,127,4
4,52,1
45,230,4
45,246,3
45,248,4
45,250,3
45,266,18
45,279,2
45,282,1
4,53,1
45,369,5
45,63,2
45,75,2
45,85,18
45,93,1
46,109,7
46,180,7
46,183,2
46,196,2
4,62,1
46,278,5
46,294,13
46,50,1
46,89,24
46,90,7
46,91,13
46,92,11
47,152,1
47,163,1
47,172,6
47,192,2
47,97,3
4,8,122
49,135,4
49,167,15
49,223,30
49,353,1
4,97,1
49,76,2
50,109,1
50,219,3
50,89,1
5,112,54
5,123,2
5,13,4
5,14,192
5,15,97
5,161,1
5,175,2
5,18,2
5,21,67
5,266,1
53,123,2
53,175,9
53,208,1
53,242,5
5,332,5
5,355,1
53,93,1
5,41,112
5,42,1
5,8,1
58,127,1
58,179,1
58,200,5
58,230,1
58,246,4
58,247,2
58,75,2
58,85,9
58,87,6
5,9,16
60,113,1
60,323,18
60,358,14
60,360,1
60,361,30
60,390,6
61,123,2
61,257,1
62,78,1
63,111,1
63,127,21
63,246,2
63,313,1
63,320,11
63,369,5
63,73,1
63,75,1
63,85,4
64,100,9
64,102,4
64,106,25
64,132,68
64,135,30
64,243,5
64,249,9
64,326,45
64,86,21
64,94,4
66,224,1
68,169,1
68,257,1
68,366,13
68,388,2
69,168,1
69,227,1
69,364,1
70,106,2
70,135,2
70,196,1
70,86,4
70,94,38
7,111,3
71,110,3
71,330,2
7,226,2
7,246,1
7,247,1
73,111,3
73,250,3
73,307,2
73,363,5
73,83,1
73,85,4
75,111,1
75,125,1
75,127,9
75,230,1
75,246,1
75,279,2
75,313,1
75,85,1
76,119,3
76,120,7
76,121,11
76,146,11
76,185,24
76,223,6
76,259,1
76,272,3
76,285,2
76,288,8
76,302,1
76,315,15
76,318,19
76,345,1
76,351,2
76,379,13
77,248,14
7,75,1
78,180,2
78,196,2
78,333,2
7,85,1
78,92,1
7,96,1
8,117,1
8,14,36
8,15,12
8,16,1
8,161,1
8,21,35
82,103,6
8,22,1
82,230,6
8,224,1
82,258,1
8,27,1
8,284,1
8,31,10
83,247,1
83,313,2
8,332,3
83,84,6
83,85,8
83,87,1
8,40,1
8,41,1
8,42,10
85,111,2
85,127,2
85,246,24
85,250,2
85,258,2
85,279,10
8,53,1
85,363,3
85,87,1
85,93,1
86,100,135
86,102,7
86,103,1
86,106,17
86,122,83
86,132,37
86,135,6
8,62,1
86,238,41
86,243,8
86,249,1
86,271,15
86,280,1
8,63,1
86,326,62
8,68,1
86,94,23
87,111,4
87,200,14
87,226,2
87,230,3
87,246,5
87,250,4
87,313,2
88,163,3
88,164,4
88,184,2
88,322,6
8,86,1
89,109,5
89,164,1
89,180,25
89,183,9
89,196,4
89,212,9
89,213,5
89,217,9
89,219,4
89,221,6
89,225,1
89,278,1
89,294,16
89,90,6
89,91,21
89,92,4
90,180,1
90,217,1
90,92,2
91,294,36
9,13,4
9,14,3
9,15,20
91,92,4
9,21,17
92,180,7
92,183,27
92,196,2
92,213,2
92,217,1
92,278,1
92,294,18
92,401,4
93,230,2
9,41,10
94,132,21
94,135,1
9,416,1
94,243,11
94,271,1
94,326,2
96,246,4
96,266,5
97,117,1
97,152,22
