scaffold,coverage,stdev
1,39.7912,10.9561
2,27.0595,11.9069
3,10.0988,4.99446
4,52.0318,14.3363
5,58.8985,27.6396
6,24.5633,9.58143
7,29.9319,8.81827
8,47.9627,15.595
9,57.5842,19.1313
10,18.4704,6.31148
11,26.2975,16.9506
12,12.4863,7.34958
13,55.0234,16.4794
14,48.0443,15.2277
15,55.7011,19.4026
16,33.7331,13.5107
17,12.0682,6.44917
18,12.8937,5.66629
19,34.3801,12.9141
20,23.8827,22.0783
21,60.8691,17.1875
22,25.8576,11.6927
23,16.6736,10.8031
24,12.3806,6.52725
25,27.9859,11.3416
26,25.7829,8.59687
27,35.4071,9.95486
28,25.6487,14.0039
29,27.3392,11.2706
30,10.1093,7.17743
31,46.4893,12.1954
32,6.50339,3.0644
33,20.0331,30.1948
34,38.088,16.8888
35,30.3749,12.6873
36,38.5703,10.3276
37,40.5942,23.7316
38,32.4937,9.05113
39,13.1321,4.76911
40,25.649,15.4157
41,57.0757,15.2563
42,11.9569,15.9039
43,31.9795,12.1601
44,28.101,8.87467
45,30.587,13.1369
46,29.6139,19.9038
47,57.4592,22.743
48,14.1275,12.103
49,16.5197,11.2575
50,27.415,11.6708
51,29.7126,9.55175
52,26.6401,10.4532
53,14.2585,5.17196
54,22.6008,5.85054
55,20.1958,6.13337
56,14.0251,5.40753
57,11.8927,4.61793
58,26.4316,10.8521
59,12.7282,5.29849
60,21.4128,31.8161
61,13.7924,4.99313
62,33.7578,10.847
63,28.8443,9.47089
64,27.2051,12.0689
65,10.7843,4.99974
66,12.1646,5.9512
67,30.3182,8.88955
68,31.3693,8.58357
69,18.2397,5.67247
70,27.1587,14.1678
71,19.1277,7.16095
72,20.6559,6.31932
73,28.5397,11.7466
74,19.5419,5.82219
75,28.0776,12.165
76,12.4322,6.99267
77,29.9724,9.39607
78,26.9867,13.177
79,7.1641,3.35219
80,21.1918,6.87111
81,23.8056,9.34043
82,28.18,10.5787
83,28.4095,9.89977
84,24.5813,8.28726
85,27.7892,12.4082
86,26.7593,11.8874
87,28.1189,10.4659
88,11.3948,4.84327
89,38.8766,27.61
90,27.35,13.8065
91,38.7339,21.284
92,22.5499,17.2433
93,27.9471,8.2724
94,26.2472,13.934
95,15.8136,5.58717
96,30.9418,9.73863
97,121.495,53.7954
98,12.8675,4.26695
99,23.3845,9.28895
100,18.0605,7.51852
101,16.2403,6.4858
102,22.5202,14.937
103,27.6877,9.4917
104,13.0735,4.74264
105,13.251,5.13474
106,27.735,13.719
107,33.8611,9.20137
108,27.0788,8.36965
109,85.163,28.752
110,19.7346,7.1273
111,25.6221,10.8768
112,40.9367,26.1503
113,14.861,5.66911
114,14.5171,6.48177
115,12.0976,4.85829
116,13.9652,5.20527
117,11.1357,10.0144
118,16.9304,5.83483
119,10.7044,5.368
120,10.7247,4.43253
121,12.2727,6.09341
122,22.8789,12.9888
123,14.0137,5.33226
124,17.7729,6.86454
125,29.9082,8.96481
126,25.7517,9.40825
127,28.4305,10.53
128,19.6535,5.69086
129,13.0638,4.24915
130,11.8964,4.42642
131,30.1686,6.81196
132,27.044,12.3822
133,27.4638,10.8675
134,14.745,4.85489
135,29.5873,12.7122
136,31.5432,9.12904
137,18.8166,5.2686
138,24.2296,9.86038
139,16.8503,6.05784
140,12.2737,4.35197
141,23.3342,8.61597
142,11.7687,5.2282
143,28.6114,9.1778
144,18.8538,5.38689
145,13.0096,4.73993
146,11.8521,5.74679
147,81.0141,22.3025
148,14.8974,6.99082
149,37.8054,8.59809
150,8.06754,3.34565
151,11.2971,4.96457
152,65.2064,38.3795
153,29.0091,15.7422
154,28.7406,7.84152
155,13.1108,4.4955
156,30.9912,7.77736
157,12.906,4.9199
158,5.8784,3.11108
159,14.6347,6.3163
160,14.6619,5.22517
161,14.6443,9.36883
162,29.6687,10.364
163,14.5011,5.42261
164,14.5177,5.13621
165,11.2862,5.57769
166,33.0744,7.75096
167,36.9516,48.6297
168,22.9618,25.7758
169,27.4172,8.77835
170,69.0284,18.1762
171,30.2396,8.14051
172,12.6067,4.76265
173,12.5109,4.4948
174,16.0841,5.93241
175,22.9984,17.074
176,11.684,20.3272
177,23.4599,7.84994
178,35.8977,17.4939
179,13.7784,5.67752
180,38.7669,14.9843
181,21.1699,7.62793
182,23.4413,6.52796
183,38.2672,45.3176
184,12.5926,4.74851
185,13.3303,7.23277
186,27.0411,20.7494
187,21.4758,6.03306
188,15.4584,7.69138
189,29.9386,8.85966
190,11.9703,4.45338
191,22.8059,7.72097
192,33.2026,13.3005
193,31.0672,8.3111
194,29.4151,6.3227
195,20.6092,29.539
196,31.5607,14.8878
197,19.9363,9.83508
198,12.4826,4.42798
199,29.8078,8.8282
200,90.4118,25.5632
201,28.9031,12.2193
202,17.8925,5.72611
203,25.5546,11.2634
204,28.7221,10.1469
