scaffold1,scaffold2,connections
50,294,4
50,75,1
50,89,6
50,92,1
5,112,69
5,123,1
5,13,12
5,14,300
5,15,117
5,16,1
5,161,1
5,17,1
5,173,1
5,175,3
5,18,5
5,21,121
5,227,1
5,257,1
5,31,1
53,164,1
53,175,11
5,318,4
53,208,3
53,209,1
53,242,3
5,332,3
53,61,1
5,374,1
53,88,1
5,41,136
5,42,1
5,43,1
55,136,2
57,75,1
5,8,2
58,136,1
58,200,8
58,230,2
58,246,42
58,279,1
58,63,1
58,73,4
58,75,22
58,85,38
58,87,10
58,89,1
5,9,12
60,113,8
60,258,1
60,323,34
60,358,53
60,360,2
60,361,63
60,390,16
61,123,3
61,257,2
62,127,1
62,76,1
62,93,1
63,111,1
63,124,1
63,127,127
63,152,1
63,167,2
63,246,11
63,247,3
63,266,6
63,320,45
63,321,1
63,361,1
63,369,14
63,381,1
63,73,1
63,75,6
63,82,1
63,85,21
63,87,2
63,93,2
63,96,1
64,100,9
64,102,4
64,106,19
64,132,53
64,135,44
64,238,7
64,243,5
64,271,1
64,326,60
64,86,17
64,94,3
65,318,1
65,76,1
66,105,2
66,224,1
68,366,3
68,388,1
69,109,2
69,201,1
69,227,2
69,327,1
69,364,1
70,106,1
70,135,2
70,86,3
70,94,17
7,111,4
71,110,4
7,121,1
7,226,5
7,266,2
73,111,6
73,127,2
73,147,1
73,230,2
73,250,20
73,266,1
73,363,26
73,75,1
73,83,3
73,85,31
73,87,3
73,93,3
75,111,11
75,125,2
75,127,47
75,167,1
75,209,1
75,230,12
75,243,1
75,246,4
75,247,1
75,262,1
75,279,4
75,381,1
75,398,1
75,83,1
75,85,9
75,94,1
75,96,1
76,104,1
76,119,9
76,120,10
76,121,31
76,145,2
76,146,19
76,185,37
76,223,8
76,259,1
76,272,1
76,285,8
76,288,9
7,63,2
76,302,1
76,315,37
76,318,40
76,379,25
77,156,1
77,248,31
7,73,1
7,75,2
7,8,1
78,180,1
78,183,1
78,196,2
7,85,2
7,89,1
7,96,2
8,103,1
8,106,1
8,109,1
8,111,1
81,147,1
8,117,3
8,14,90
8,147,1
8,15,23
8,16,1
8,175,6
8,19,3
8,192,1
8,209,1
8,21,46
82,103,15
8,211,1
82,127,1
82,196,1
82,230,23
82,250,1
82,258,25
8,227,1
82,308,1
8,280,1
8,287,1
8,31,15
83,246,2
83,269,1
83,313,16
8,332,5
83,84,22
83,85,34
83,87,12
8,40,1
8,41,4
8,42,26
8,45,1
85,100,1
85,102,1
85,111,24
85,127,14
85,136,1
85,167,2
85,189,5
85,204,1
85,230,4
85,246,102
85,247,1
85,250,16
85,262,1
85,266,2
85,279,56
8,53,1
85,320,3
85,347,1
85,363,14
85,87,14
86,100,90
86,102,4
86,106,11
86,122,37
86,132,11
86,135,4
86,211,1
86,222,1
86,238,35
86,243,1
86,249,4
86,271,15
86,291,1
86,326,22
86,359,1
86,94,22
87,111,11
87,127,2
87,200,13
87,226,14
87,230,18
87,246,10
87,250,15
87,258,1
87,313,13
8,75,2
87,93,3
88,163,1
88,164,2
88,184,3
88,322,5
8,9,2
89,109,7
89,180,39
89,183,7
89,196,5
89,212,12
89,213,3
89,217,6
89,219,4
89,221,12
89,294,30
8,93,1
8,97,2
89,90,5
89,91,43
89,92,18
90,109,1
90,180,2
90,196,1
90,217,1
90,294,2
90,333,1
9,105,1
9,109,1
9,112,1
91,294,25
9,13,3
9,14,7
9,15,31
9,16,1
9,175,1
9,19,1
91,92,2
9,21,34
92,180,12
92,183,23
92,196,4
92,217,2
9,224,1
92,278,2
92,294,22
9,240,1
92,401,3
9,258,1
93,127,4
93,230,2
93,246,2
9,393,1
9,41,22
94,100,1
94,106,1
94,122,1
94,127,1
94,132,14
94,135,2
94,238,2
94,243,14
94,249,1
94,326,1
9,44,1
9,60,1
96,111,3
96,135,1
96,222,1
96,246,26
96,266,11
96,291,1
96,381,1
97,117,3
97,152,49
97,162,1
97,170,1
97,291,1
9,85,1
