"scaffold","coverage"
"180",37.939
"227",38.518
"253",41.087
"285",20.495
"315",38.796
"343",32.043
"386",37.222
"423",40.011
"431",37.906
"460",38.103
"484",38.157
"564",37.927
"573",53.195
"1058",40.819
"1097",35.611
"1117",41.452
"1192",40.22
"1196",19.752
"1382",40.166
"1383",38.723
"1779",36.78
"1877",37.985
"1930",38.461
"1957",40.676
"1962",43.042
"2042",22.204
"2104",39.678
"2125",23.207
"2127",38.869
"2404",38.489
"2509",21.426
"2521",34.793
"3177",37.625
"3337",37.793
"3345",36.146
"3505",39.451
"3951",22.929
"4013",33.392
"4078",29.816
"4119",20.011
"4666",23.951
"4889",41.819
"4905",16.139
"4968",34.877
"5013",39.643
"5236",12.939
"5382",16.541
"5503",36.41
"5687",34.465
"5839",28.385
"6044",35.724
"6155",25.191
"6267",34.873
"6517",36.521
"6525",39.313
"6573",13.235
"6646",35.877
"6721",12.32
"6750",20.143
"6752",48.696
"6757",26.471
"6944",23.797
"7007",35.668
"7258",12.476
"7409",49.532
"7521",23.616
"7531",36.399
"8257",37.104
"8320",15.502
"8351",12.227
"8546",41.473
"8929",35.84
"9368",33.695
"9767",12.269
"9815",36.361
"9833",15.556
"9904",14.239
"10142",49.121
"10309",13.426
"10612",48.97
"10820",41.057
"10849",35.154
"10949",35.662
"10968",36.173
"11002",35.609
"11203",12.139
"11854",35.621
"11985",44.514
"12119",13.178
"12157",12.829
"12385",22.587
"12427",13.111
"12537",15.335
"12663",33.837
"12819",17.843
"13562",16.716
"13588",33.531
"13731",12.603
"14216",37.916
"14571",39.434
"15114",13.223
"15191",37.979
"15325",14.005
"15365",12.195
"16162",14.344
"16380",31.893
"16517",14.423
"16548",35.357
"16668",34.471
"17117",38.637
"17282",35.662
"17388",13.529
"18030",35.312
"18251",19.035
"18472",35.248
"18770",12.133
"18815",39.938
"19572",34.111
"19997",40.897
"20216",38.72
"20267",21.29
"20273",36.121
"20793",16.202
"21104",12.649
"21161",33.261
"21251",21.993
"21584",36.459
"22199",38.201
"22519",27.013
"22767",34.496
"22965",39.475
"23245",36.232
"24474",21.847
"25712",34.327
"26452",28.129
"26621",37.766
"26897",38.242
"28601",29.621
"28814",13.413
"28820",25.853
"30045",15.625
"30618",33.386
"31787",35.303
"31833",39.654
"32703",34.006
"34032",39.586
"34443",44.256
"34743",34.713
"35327",17.9
"36121",38.062
"37454",39.739
"37990",19.189
"42619",38.449
"43398",18.092
"43410",38.337
"44902",18.602
"45704",34.321
"47829",37.464
"51136",38.941
"56900",64.649
"59665",16.297
