"scaffold","coverage"
"180",0.298
"227",0.348
"253",1.057
"285",0.0009698
"315",0.366
"343",0.235
"386",0.359
"423",1.396
"431",0.409
"460",0.421
"484",0.379
"564",0.364
"573",1.687
"1058",0.416
"1097",0.058
"1117",0.409
"1192",0.359
"1196",0
"1382",0.252
"1383",0.328
"1779",0.38
"1877",0.332
"1930",0.361
"1957",0.35
"1962",0.357
"2042",0.002125
"2104",0.364
"2125",0.0004347
"2127",0.437
"2404",0.347
"2509",0.001504
"2521",0.044
"3177",2.061
"3337",0.411
"3345",0.061
"3505",0.339
"3951",0.0004676
"4013",0.05
"4078",0.0004217
"4119",0.0007354
"4666",0.002457
"4889",0.071
"4905",0.317
"4968",0.045
"5013",0.37
"5236",0.469
"5382",0.058
"5503",0.055
"5687",0.052
"5839",2.96
"6044",0.076
"6155",0.001518
"6267",0.026
"6517",0.055
"6525",0.378
"6573",0.234
"6646",0.042
"6721",0.005729
"6750",0
"6752",0.076
"6757",0.064
"6944",0.002482
"7007",0.072
"7258",0.021
"7409",0.071
"7521",0.0003649
"7531",0.056
"8257",0.043
"8320",0.04
"8351",0.597
"8546",0.09
"8929",0.069
"9368",0.051
"9767",0.534
"9815",0.034
"9833",0.589
"9904",0.84
"10142",0.038
"10309",0.329
"10612",0.097
"10820",0.426
"10849",0.009278
"10949",0.055
"10968",0.016
"11002",0.044
"11203",0.038
"11854",0.033
"11985",0.048
"12119",0.439
"12157",0.004416
"12385",0.002052
"12427",0.664
"12537",1.025
"12663",0.035
"12819",0.051
"13562",0.03
"13588",0.047
"13731",0.446
"14216",0.044
"14571",0.149
"15114",0.271
"15191",0.037
"15325",0.268
"15365",0.606
"16162",0.494
"16380",0.045
"16517",2.178
"16548",0.049
"16668",0.068
"17117",0.047
"17282",0.023
"17388",0
"18030",0.065
"18251",0.032
"18472",0.017
"18770",0.493
"18815",0.032
"19572",0.055
"19997",0.058
"20216",0.036
"20267",0.001346
"20273",0.04
"20793",0.642
"21104",0.038
"21161",0.05
"21251",0
"21584",0.045
"22199",0.013
"22519",0
"22767",0.05
"22965",0.034
"23245",0.033
"24474",0.032
"25712",0.045
"26452",0.053
"26621",0.021
"26897",0.018
"28601",2.872
"28814",0.416
"28820",0.067
"30045",0.012
"30618",0.012
"31787",0.062
"31833",0.011
"32703",0.067
"34032",0.03
"34443",0.011
"34743",0.059
"35327",0.021
"36121",0.031
"37454",0.031
"37990",0.016
"42619",0.025
"43398",0.00794
"43410",0.04
"44902",0.079
"45704",0.015
"47829",0.006077
"51136",0.045
"56900",0.024
"59665",0.032
